Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Single-cell battery,Battery_Cell,BT1,Battery_Cell,Keystone_3034_1x20mm-CoinCell,1,36-3034-ND
2,"Unpolarized capacitor, small symbol",C_Small,C5 C6 C7 C10 C11 C12,0.1u,SMD_pkg_0805,6,732-8026-1-ND
3,"Unpolarized capacitor, small symbol",C_Small,C3 C4,0.1u,R_0402,2,587-1451-1-ND
4,"Unpolarized capacitor, small symbol",C_Small,C1 C2 C9,1u,SMD_pkg_0805,3,1276-6471-1-ND
5,"Unpolarized capacitor, small symbol",C_Small,C8,4.7u,SMD_pkg_0805,1,1276-6464-1-ND
7,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x03_Odd_Even,J10,ICSP,Pin_Header_Straight_2x03_Pitch2.54mm,1,1528-1074-ND
9,Micro SD Card Socket,Micro_SD_Card,J4,Micro_SD_Card,Hirose_DM3D-SF,1,HR1941CT-ND
11,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J1,PWR,JST_XH_S02B-XH-A_02x2.50mm_Angled,1,455-2257-ND
21,Resistor,R,R3,0,SMD_pkg_0805,1,311-0.0ARCT-ND
22,Resistor,R,R4 R5,200,SMD_pkg_0805,2,311-200ARCT-ND
23,Resistor,R,R1 R2,4K7,SMD_pkg_0805,2,311-4.7KARCT-ND
24,,74HC4050,U4,74HC4050,SOIC-16_N,1,1727-6331-1-ND
25,"1A 20V Fixed LDO Linear Regulator, 1.2V, SOT-89/SOT-223/TO-220/TO-252/TO-263",AZ1117-3.3,U2,AZ1117-3.3,SOT-223-3_TabPin2,1,AZ1117EH-3.3TRG1DICT-ND
29,"Ultra low power 2.4GHz RF Transceiver, Carrier PCB",NRF24L01_Breakout,U5,NRF24L01_Breakout,JST_XH_B08B-XH-A_08x2.50mm_Straight,1,455-2251-ND
30,Two pin crystal,Crystal,Y1,Crystal,Crystal_C38-LF_d3.0mm_l8.0mm_Horizontal,1,535-9034-ND
,,,,,,1,L10005-ND
,,,,,,1,L10001-ND
,,,,,,1,455-1902-ND
,,,,,,1,455-2251-ND
,,,,,,,
Component Groups:,32,,,,,,
Component Count:,46,,,,,,
Fitted Components:,46,,,,,,
Number of PCBs:,1,,,,,,
Total components:,46,,,,,,
Schematic Version:,,,,,,,
Schematic Date:,lun. 30 mars 2015,,,,,,
BoM Date:,5/26/2019 9:39,,,,,,
Schematic Source:,C:\projects\BAJA\ControllerPCB\ControllerPCB.sch,,,,,,
KiCad Version:,Eeschema (5.0.2)-1,,,,,,
